hotspot	chr	start	end	ebv_cluster	ebv_chr	ebv_start	ebv_end	fragments
2_hs1	2	33141296	33141667	2_hs1_ebv_cluster1	NC_007605	9083	10796	53
2_hs1	2	33141296	33141667	2_hs1_ebv_cluster10	NC_007605	167174	169584	15
2_hs1	2	33141296	33141667	2_hs1_ebv_cluster2	NC_007605	11964	11990	9
2_hs1	2	33141296	33141667	2_hs1_ebv_cluster3	NC_007605	35437	36838	155
2_hs1	2	33141296	33141667	2_hs1_ebv_cluster4	NC_007605	39889	40230	14
2_hs1	2	33141296	33141667	2_hs1_ebv_cluster5	NC_007605	51116	52678	6
2_hs1	2	33141296	33141667	2_hs1_ebv_cluster6	NC_007605	95304	97072	99
2_hs1	2	33141296	33141667	2_hs1_ebv_cluster7	NC_007605	98455	99307	6
2_hs1	2	33141296	33141667	2_hs1_ebv_cluster8	NC_007605	123901	124419	69
2_hs1	2	33141296	33141667	2_hs1_ebv_cluster9	NC_007605	138361	140754	51
7_hs1	7	105741884	105741886	7_hs1_ebv_cluster1	NC_007605	36283	36578	6
