readpair	integr_hotspot	chr1	pos1	chr2	pos2	EBV_cluster
A00295:260:HM53HDSXX:4:2177:13304:28604		1	49900382	NC_007605	36413	
A00295:260:HM53HDSXX:3:1354:17797:13933		1	112405680	NC_007605	146005	
A00295:260:HM53HDSXX:3:1354:17797:13933		1	112405681	NC_007605	146252	
A00295:260:HM53HDSXX:3:2158:31828:20415		1	172336362	NC_007605	41994	
A00295:260:HM53HDSXX:1:1348:13295:31313		1	175664593	NC_007605	79078	
A00295:260:HM53HDSXX:4:2475:32841:13714		1	178339016	NC_007605	76911	
A00295:260:HM53HDSXX:4:1442:14371:22842		10	1576931	NC_007605	115683	
A00295:260:HM53HDSXX:4:1442:14371:22842		10	1576932	NC_007605	115501	
A00295:260:HM53HDSXX:4:2156:4300:11318		10	8102644	NC_007605	162589	
A00295:260:HM53HDSXX:4:2245:27552:12477		10	17548107	NC_007605	152423	
A00295:260:HM53HDSXX:4:1110:22733:17973		10	28050450	NC_007605	36398	
A00295:260:HM53HDSXX:2:1517:22064:2566		10	100451741	NC_007605	161243	
A00295:260:HM53HDSXX:1:1320:3360:18521		10	108664072	NC_007605	112404	
A00295:260:HM53HDSXX:1:2226:32063:33880		11	11023292	NC_007605	92585	
A00295:260:HM53HDSXX:1:1356:28348:2644		11	16587232	NC_007605	168268	
A00295:260:HM53HDSXX:3:1528:17020:26209		11	30904075	NC_007605	133966	
A00295:260:HM53HDSXX:4:1660:1741:31250		11	46055476	NC_007605	161794	
A00295:260:HM53HDSXX:4:2110:21784:27696		11	73496437	NC_007605	149555	
A00295:260:HM53HDSXX:3:1419:16938:4085		11	91588247	NC_007605	112052	
A00295:260:HM53HDSXX:4:2458:9525:32268		11	95019175	NC_007605	36400	
A00295:260:HM53HDSXX:3:1622:11894:28792		11	119719469	NC_007605	55994	
A00295:260:HM53HDSXX:2:1342:2871:5024		12	38371416	NC_007605	147317	
A00295:260:HM53HDSXX:2:1342:2871:5024		12	38371417	NC_007605	147465	
A00295:260:HM53HDSXX:2:2613:21549:1986		12	85109764	NC_007605	121647	
A00295:260:HM53HDSXX:1:2567:10158:4961		13	66370378	NC_007605	60473	
A00295:260:HM53HDSXX:1:1117:5095:19774		13	67503549	NC_007605	10033	
A00295:260:HM53HDSXX:1:2212:29405:27586		13	95642786	NC_007605	168354	
A00295:260:HM53HDSXX:4:2427:10022:17722		14	23986826	NC_007605	105922	
A00295:260:HM53HDSXX:4:2427:10022:17722		14	23986827	NC_007605	105844	
A00295:260:HM53HDSXX:2:2428:10700:17143		14	43276134	NC_007605	165643	
A00295:260:HM53HDSXX:2:1335:25608:16094		14	84326800	NC_007605	46191	
A00295:260:HM53HDSXX:1:1212:29613:25410		14	99887285	NC_007605	56463	
A00295:260:HM53HDSXX:2:1340:26087:7185		15	28538301	NC_007605	167702	
A00295:260:HM53HDSXX:4:1366:9462:21198		16	9758946	NC_007605	116852	
A00295:260:HM53HDSXX:4:1366:9462:21198		16	9758946	NC_007605	116852	
A00295:260:HM53HDSXX:3:1272:32777:6370		16	27318019	NC_007605	36423	
A00295:260:HM53HDSXX:3:1407:24343:30686		16	56433497	NC_007605	149581	
A00295:260:HM53HDSXX:2:2136:4164:31438		16	62188583	NC_007605	126088	
A00295:260:HM53HDSXX:3:2545:5231:33974		17	2029100	NC_007605	132963	
A00295:260:HM53HDSXX:1:2225:17255:4570		17	21441665	NC_007605	55878	
A00295:260:HM53HDSXX:4:2601:16586:16188		18	38198540	NC_007605	79845	
A00295:260:HM53HDSXX:4:1471:1615:31751		19	19282129	NC_007605	110917	
A00295:260:HM53HDSXX:2:2517:8241:4930		19	22033879	NC_007605	35664	
A00295:260:HM53HDSXX:3:2518:1063:9314		19	22375478	NC_007605	152876	
A00295:260:HM53HDSXX:2:1409:29017:34209		19	38958512	NC_007605	2045	
A00295:260:HM53HDSXX:4:2446:26549:4288		19	41826200	NC_007605	110834	
A00295:260:HM53HDSXX:3:2653:1371:23124		19	59114003	NC_007605	74009	
A00295:260:HM53HDSXX:2:1517:3495:16845		2	33141318	NC_007605	95486	
A00295:260:HM53HDSXX:1:1442:26422:29559		2	33141488	NC_007605	132125	
A00295:260:HM53HDSXX:3:2565:21432:12211		2	66549861	NC_007605	36428	
A00295:260:HM53HDSXX:4:2656:4001:14152		2	175441034	NC_007605	146876	
A00295:260:HM53HDSXX:3:2118:26286:29011		2	226329608	NC_007605	71009	
A00295:260:HM53HDSXX:4:1269:12346:2769		20	8954906	NC_007605	165729	
A00295:260:HM53HDSXX:4:2574:6442:27774		20	40228868	NC_007605	37424	
A00295:260:HM53HDSXX:4:2575:11767:32518		20	55466626	NC_007605	35502	
A00295:260:HM53HDSXX:2:1339:25753:6198		22	29502610	NC_007605	1401	
A00295:260:HM53HDSXX:2:2620:12970:30029		3	24152517	NC_007605	113182	
A00295:260:HM53HDSXX:1:1132:30300:34741		3	28464397	NC_007605	155161	
A00295:260:HM53HDSXX:3:2360:15402:12383		3	34107017	NC_007605	153378	
A00295:260:HM53HDSXX:1:2619:20844:26443		3	65554976	NC_007605	69864	
A00295:260:HM53HDSXX:1:2235:6958:13009		3	119786593	NC_007605	133705	
A00295:260:HM53HDSXX:4:1506:3360:3020		3	128250748	NC_007605	130607	
A00295:260:HM53HDSXX:3:1306:11659:7498		3	143044707	NC_007605	4746	
A00295:260:HM53HDSXX:3:1306:11659:7498		3	143044708	NC_007605	4708	
A00295:260:HM53HDSXX:3:2553:4960:17754		3	189156310	NC_007605	87450	
A00295:260:HM53HDSXX:1:2426:2347:15515		3	191224486	NC_007605	163529	
A00295:260:HM53HDSXX:2:1578:32226:14653		3	194975319	NC_007605	55481	
A00295:260:HM53HDSXX:3:1225:4237:3067		4	6513910	NC_007605	36407	
A00295:260:HM53HDSXX:2:2676:5385:4930		4	7302557	NC_007605	148644	
A00295:260:HM53HDSXX:1:1443:29749:11397		4	57565936	NC_007605	118821	
A00295:260:HM53HDSXX:4:1207:29686:20243		4	85233780	NC_007605	161267	
A00295:260:HM53HDSXX:4:2249:7012:29825		4	93850474	NC_007605	103716	
A00295:260:HM53HDSXX:4:2411:4969:21089		4	94377715	NC_007605	43726	
A00295:260:HM53HDSXX:3:1542:20582:35603		4	185774831	NC_007605	123795	
A00295:260:HM53HDSXX:1:2176:13386:30373		5	30352140	NC_007605	69647	
A00295:260:HM53HDSXX:1:1260:7762:36980		5	54833994	NC_007605	68582	
A00295:260:HM53HDSXX:2:1403:27299:31266		5	99586772	NC_007605	123889	
A00295:260:HM53HDSXX:4:2432:8938:24956		5	115599775	NC_007605	63234	
A00295:260:HM53HDSXX:4:2118:25572:22545		5	143154553	NC_007605	145892	
A00295:260:HM53HDSXX:3:1634:22046:22451		5	162668751	NC_007605	162787	
A00295:260:HM53HDSXX:2:2414:24379:9142		6	9573964	NC_007605	38214	
A00295:260:HM53HDSXX:2:1503:15863:20353		6	12534005	NC_007605	100531	
A00295:260:HM53HDSXX:2:2147:19117:19539		6	71782978	NC_007605	53164	
A00295:260:HM53HDSXX:3:1307:22706:28510		6	83228154	NC_007605	69085	
A00295:260:HM53HDSXX:3:1307:22544:28447		6	83228155	NC_007605	69195	
A00295:260:HM53HDSXX:3:1307:22706:28510		6	83228155	NC_007605	69195	
A00295:260:HM53HDSXX:2:2157:17219:8202		6	107603416	NC_007605	9003	
A00295:260:HM53HDSXX:3:1414:2437:24095		6	152496482	NC_007605	118685	
A00295:260:HM53HDSXX:2:2612:28194:3818		7	52515390	NC_007605	41814	
A00295:260:HM53HDSXX:1:1532:28999:15828		7	91970515	NC_007605	43903	
A00295:260:HM53HDSXX:4:2329:2166:35681		8	24186424	NC_007605	63278	
A00295:260:HM53HDSXX:3:2659:14751:18145		8	49412933	NC_007605	164076	
A00295:260:HM53HDSXX:2:1171:25039:4241		8	57155367	NC_007605	131900	
A00295:260:HM53HDSXX:3:2478:22498:28995		8	77906438	NC_007605	113453	
A00295:260:HM53HDSXX:1:1375:25816:36996		8	84142785	NC_007605	138513	
A00295:260:HM53HDSXX:3:1221:30752:5024		9	10492986	NC_007605	5619	
A00295:260:HM53HDSXX:4:2522:24080:11569		9	28533167	NC_007605	36404	
A00295:260:HM53HDSXX:2:1268:2953:32127		9	98669304	NC_007605	106968	
A00295:260:HM53HDSXX:4:2328:23086:32174		GL000220.1	139083	NC_007605	35550	
A00295:260:HM53HDSXX:2:2513:27642:20932		MT	311	NC_007605	61052	
A00295:260:HM53HDSXX:1:1619:32669:25942		X	48164521	NC_007605	73994	
A00295:260:HM53HDSXX:2:1168:4743:35196		X	72177989	NC_007605	151840	
A00295:260:HM53HDSXX:3:1350:30174:1579		X	126230841	NC_007605	36262	
A00295:260:HM53HDSXX:2:2523:12255:24784		X	146142608	NC_007605	57978	
A00295:260:HM53HDSXX:2:2324:12165:31767		X	151391862	NC_007605	98272	
A00295:260:HM53HDSXX:2:2639:6741:31767		hs37d5	25972021	NC_007605	129103	
