readpair	integr_hotspot	chr1	pos1	chr2	pos2	EBV_cluster
A00295:260:HM53HDSXX:3:2531:6298:32221		1	42010414	NC_007605	36407	
A00295:260:HM53HDSXX:2:1367:25003:21214		1	231869886	NC_007605	36482	
A00295:260:HM53HDSXX:3:1575:14841:27759		13	22300025	NC_007605	36400	
A00295:260:HM53HDSXX:1:1217:32434:28886		14	99887287	NC_007605	36407	
A00295:260:HM53HDSXX:2:1203:7328:7921		19	1768903	NC_007605	36401	
A00295:260:HM53HDSXX:3:2436:13982:25645		19	38208605	NC_007605	36400	
A00295:260:HM53HDSXX:1:1613:29071:19335		2	33141311	NC_007605	36407	
A00295:260:HM53HDSXX:3:1662:25780:29199		20	1918686	NC_007605	36404	
A00295:260:HM53HDSXX:2:1126:30734:36025		3	13353405	NC_007605	36413	
A00295:260:HM53HDSXX:4:1658:26368:21512		3	196659604	NC_007605	36401	
A00295:260:HM53HDSXX:3:2509:27037:13714		5	3446295	NC_007605	36402	
A00295:260:HM53HDSXX:4:2412:6741:2049		5	7372318	NC_007605	36400	
A00295:260:HM53HDSXX:2:1668:12174:14027		8	101061045	NC_007605	36400	
