readpair	integr_hotspot	chr1	pos1	chr2	pos2	EBV_cluster
A00295:260:HM53HDSXX:4:1373:10285:36933		1	342835	NC_007605	1232	
A00295:260:HM53HDSXX:4:1433:4887:3818		1	1583694	NC_007605	128746	
A00295:260:HM53HDSXX:3:2161:23448:30796		1	1640973	NC_007605	97617	
A00295:260:HM53HDSXX:1:1513:13169:27430		1	1757192	NC_007605	160048	
A00295:260:HM53HDSXX:4:1522:24343:23140		1	2424475	NC_007605	73157	
A00295:260:HM53HDSXX:2:1628:21522:28150		1	3141627	NC_007605	91272	
A00295:260:HM53HDSXX:2:2623:7247:4210		1	4483853	NC_007605	76795	
A00295:260:HM53HDSXX:2:2623:7247:4210		1	4483854	NC_007605	76692	
A00295:260:HM53HDSXX:3:2301:29758:15796		1	4597668	NC_007605	164524	
A00295:260:HM53HDSXX:3:2131:28058:36871		1	4948001	NC_007605	117956	
A00295:260:HM53HDSXX:3:2131:28058:36871		1	4948001	NC_007605	117956	
A00295:260:HM53HDSXX:3:1524:25183:18208		1	5808933	NC_007605	11074	
A00295:260:HM53HDSXX:3:1524:25183:18208		1	5808933	NC_007605	11074	
A00295:260:HM53HDSXX:3:2345:25726:26569		1	6645950	NC_007605	137867	
A00295:260:HM53HDSXX:3:1211:32913:22138		1	6841797	NC_007605	5642	
A00295:260:HM53HDSXX:2:1560:18295:32111		1	7077573	NC_007605	103506	
A00295:260:HM53HDSXX:2:1570:10176:22216		1	7395199	NC_007605	55721	
A00295:260:HM53HDSXX:1:1334:22191:29371		1	7803222	NC_007605	116165	
A00295:260:HM53HDSXX:4:1219:18710:19836		1	10621986	NC_007605	113604	
A00295:260:HM53HDSXX:4:2550:23619:5353		1	11010362	NC_007605	99900	
A00295:260:HM53HDSXX:3:1628:16857:13839		1	12071828	NC_007605	1406	
A00295:260:HM53HDSXX:1:2324:12689:3490		1	12701622	NC_007605	149602	
A00295:260:HM53HDSXX:1:2324:12689:3490		1	12701623	NC_007605	149529	
A00295:260:HM53HDSXX:1:1533:10221:23202		1	13144194	NC_007605	139728	
A00295:260:HM53HDSXX:3:1666:5312:33301		1	14852699	NC_007605	146948	
A00295:260:HM53HDSXX:3:1666:5312:33301		1	14852700	NC_007605	147132	
A00295:260:HM53HDSXX:3:2515:30083:26725		1	16017460	NC_007605	70766	
A00295:260:HM53HDSXX:2:2333:9986:21825		1	16488578	NC_007605	2102	
A00295:260:HM53HDSXX:2:1213:1443:36526		1	18268158	NC_007605	165874	
A00295:260:HM53HDSXX:2:1213:1443:36526		1	18268159	NC_007605	165750	
A00295:260:HM53HDSXX:4:2562:24930:26475		1	20273488	NC_007605	44641	
A00295:260:HM53HDSXX:2:2608:24912:10034		1	21727099	NC_007605	169229	
A00295:260:HM53HDSXX:3:2235:6207:13870		1	22206067	NC_007605	59719	
A00295:260:HM53HDSXX:1:1546:25147:15107		1	23911067	NC_007605	67282	
A00295:260:HM53HDSXX:3:1528:17933:29356		1	24358577	NC_007605	69720	
A00295:260:HM53HDSXX:2:1524:5385:7936		1	24767961	NC_007605	160157	
A00295:260:HM53HDSXX:1:1357:16116:17378		1	25230817	NC_007605	61829	
A00295:260:HM53HDSXX:2:2655:1208:23343		1	26538499	NC_007605	123660	
A00295:260:HM53HDSXX:2:2655:1208:23343		1	26538500	NC_007605	123573	
A00295:260:HM53HDSXX:4:2353:6117:24173		1	27831148	NC_007605	88554	
A00295:260:HM53HDSXX:1:1651:20039:33191		1	28156297	NC_007605	847	
A00295:260:HM53HDSXX:1:1321:2419:7874		1	28655346	NC_007605	64149	
A00295:260:HM53HDSXX:1:1321:2383:7905		1	28655346	NC_007605	64149	
A00295:260:HM53HDSXX:4:1139:25771:3662		1	29102847	NC_007605	74130	
A00295:260:HM53HDSXX:2:2346:21992:36417		1	29145213	NC_007605	159675	
A00295:260:HM53HDSXX:2:2327:9136:28839		1	33782744	NC_007605	72762	
A00295:260:HM53HDSXX:4:1548:11089:13839		1	34089089	NC_007605	93977	
A00295:260:HM53HDSXX:3:2448:9634:21433		1	34398288	NC_007605	158916	
A00295:260:HM53HDSXX:2:2138:6605:9455		1	34665144	NC_007605	161482	
A00295:260:HM53HDSXX:2:2138:6605:9455		1	34665145	NC_007605	161372	
A00295:260:HM53HDSXX:1:2209:8639:31579		1	36517440	NC_007605	116936	
A00295:260:HM53HDSXX:1:2520:6063:7733		1	37011666	NC_007605	138971	
A00295:260:HM53HDSXX:3:2324:13196:11569		1	40145985	NC_007605	136075	
A00295:260:HM53HDSXX:3:1346:11315:9502		1	43658959	NC_007605	68630	
A00295:260:HM53HDSXX:3:2631:22607:2190		1	44503658	NC_007605	48843	
A00295:260:HM53HDSXX:4:1552:14434:15655		1	44593886	NC_007605	156332	
A00295:260:HM53HDSXX:2:2622:20193:36119		1	44724809	NC_007605	49755	
A00295:260:HM53HDSXX:4:2244:18412:10802		1	45752970	NC_007605	149199	
A00295:260:HM53HDSXX:2:2670:9905:25254		1	45842482	NC_007605	130012	
A00295:260:HM53HDSXX:2:2444:19036:31015		1	47240684	NC_007605	6112	
A00295:260:HM53HDSXX:3:2476:5972:20917		1	48225427	NC_007605	6671	
A00295:260:HM53HDSXX:2:2411:9372:1626		1	48688970	NC_007605	126524	
A00295:260:HM53HDSXX:2:1177:12156:14465		1	48795394	NC_007605	74906	
A00295:260:HM53HDSXX:4:2649:14163:15718		1	51110983	NC_007605	168288	
A00295:260:HM53HDSXX:4:1212:6632:33144		1	51340397	NC_007605	64652	
A00295:260:HM53HDSXX:3:1565:18367:12320		1	51530639	NC_007605	112317	
A00295:260:HM53HDSXX:1:1650:24099:34867		1	52374976	NC_007605	106601	
A00295:260:HM53HDSXX:1:1650:24099:34867		1	52374977	NC_007605	106516	
A00295:260:HM53HDSXX:3:2329:21703:14747		1	52801606	NC_007605	69732	
A00295:260:HM53HDSXX:3:1370:26431:1924		1	52856558	NC_007605	121130	
A00295:260:HM53HDSXX:3:2105:11315:12383		1	57107945	NC_007605	9131	
A00295:260:HM53HDSXX:2:1333:17092:15029		1	59064429	NC_007605	150128	
A00295:260:HM53HDSXX:1:2434:28058:17550		1	59983431	NC_007605	36173	
A00295:260:HM53HDSXX:1:2434:28058:17550		1	59983432	NC_007605	36078	
A00295:260:HM53HDSXX:2:2212:1913:8938		1	60233117	NC_007605	1913	
A00295:260:HM53HDSXX:3:1370:32841:27461		1	60331524	NC_007605	68019	
A00295:260:HM53HDSXX:3:2355:19976:36464		1	60794105	NC_007605	49282	
A00295:260:HM53HDSXX:3:2255:29405:29872		1	61403231	NC_007605	106731	
A00295:260:HM53HDSXX:1:2675:16938:17550		1	62291501	NC_007605	110299	
A00295:260:HM53HDSXX:3:1666:30662:20650		1	62390870	NC_007605	131284	
A00295:260:HM53HDSXX:3:2314:6036:30514		1	63695755	NC_007605	49483	
A00295:260:HM53HDSXX:3:1151:2754:20541		1	63916518	NC_007605	68906	
A00295:260:HM53HDSXX:1:2331:14769:23062		1	63981381	NC_007605	164119	
A00295:260:HM53HDSXX:1:2434:17553:24972		1	65111051	NC_007605	79116	
A00295:260:HM53HDSXX:4:1435:28420:30201		1	65320957	NC_007605	445	
A00295:260:HM53HDSXX:3:1211:22697:11303		1	65451669	NC_007605	116060	
A00295:260:HM53HDSXX:3:1211:22697:11303		1	65451670	NC_007605	116060	
A00295:260:HM53HDSXX:3:2208:17906:1438		1	66815896	NC_007605	168546	
A00295:260:HM53HDSXX:1:1461:13612:36839		1	67350729	NC_007605	113400	
A00295:260:HM53HDSXX:2:2361:30879:11193		1	67559830	NC_007605	128102	
A00295:260:HM53HDSXX:3:2520:18502:11177		1	67571008	NC_007605	140622	
A00295:260:HM53HDSXX:1:1343:2275:34741		1	67783035	NC_007605	49038	
A00295:260:HM53HDSXX:3:1124:28058:30608		1	68367578	NC_007605	92563	
A00295:260:HM53HDSXX:1:2357:27073:27492		1	68471104	NC_007605	57049	
A00295:260:HM53HDSXX:4:1248:25057:2926		1	69677157	NC_007605	77444	
A00295:260:HM53HDSXX:1:1578:9046:20885		1	70128040	NC_007605	115515	
A00295:260:HM53HDSXX:4:1206:10239:16658		1	73428551	NC_007605	105906	
A00295:260:HM53HDSXX:3:1144:16306:28980		1	73617010	NC_007605	91659	
A00295:260:HM53HDSXX:3:1634:12355:22263		1	73984571	NC_007605	46024	
A00295:260:HM53HDSXX:1:2637:14262:17049		1	74422628	NC_007605	9237	
A00295:260:HM53HDSXX:4:2152:28917:36542		1	76057334	NC_007605	35397	
A00295:260:HM53HDSXX:2:2322:26413:4335		1	76364273	NC_007605	89928	
A00295:260:HM53HDSXX:3:1473:11614:33285		1	76366806	NC_007605	129089	
A00295:260:HM53HDSXX:4:1329:27923:24392		1	76424760	NC_007605	63056	
A00295:260:HM53HDSXX:4:1329:27923:24392		1	76424761	NC_007605	62899	
A00295:260:HM53HDSXX:3:2143:30617:29215		1	76846117	NC_007605	117940	
A00295:260:HM53HDSXX:3:2318:9887:1454		1	77758694	NC_007605	92527	
A00295:260:HM53HDSXX:2:2332:19515:9580		1	78554584	NC_007605	48393	
A00295:260:HM53HDSXX:2:1160:6433:19993		1	79034547	NC_007605	74846	
A00295:260:HM53HDSXX:4:2548:10583:4914		1	79366321	NC_007605	161451	
A00295:260:HM53HDSXX:2:1252:14832:18912		1	81561030	NC_007605	49161	
A00295:260:HM53HDSXX:1:1628:9182:24283		1	82549395	NC_007605	2410	
A00295:260:HM53HDSXX:1:2157:29894:37012		1	82866962	NC_007605	169161	
A00295:260:HM53HDSXX:4:1246:18005:36777		1	83391261	NC_007605	10597	
A00295:260:HM53HDSXX:4:1246:18005:36777		1	83391262	NC_007605	10545	
A00295:260:HM53HDSXX:2:1409:30400:1031		1	83611206	NC_007605	138581	
A00295:260:HM53HDSXX:4:1541:29839:34914		1	83642916	NC_007605	145127	
A00295:260:HM53HDSXX:1:2308:18493:8312		1	83907343	NC_007605	51920	
A00295:260:HM53HDSXX:1:2308:18493:8312		1	83907344	NC_007605	52121	
A00295:260:HM53HDSXX:2:1255:2917:12179		1	83911247	NC_007605	167750	
A00295:260:HM53HDSXX:4:1402:11180:26741		1	85091232	NC_007605	74426	
A00295:260:HM53HDSXX:3:2374:7934:34835		1	85262349	NC_007605	162614	
A00295:260:HM53HDSXX:2:1160:17454:19727		1	86715288	NC_007605	58923	
A00295:260:HM53HDSXX:4:1510:12174:35853		1	87616477	NC_007605	162245	
A00295:260:HM53HDSXX:4:1265:16848:35837		1	89181171	NC_007605	62629	
A00295:260:HM53HDSXX:2:1269:20121:21089		1	91533342	NC_007605	128093	
A00295:260:HM53HDSXX:2:1269:20121:21089		1	91533342	NC_007605	128093	
A00295:260:HM53HDSXX:1:2638:29080:12994		1	92610448	NC_007605	48933	
A00295:260:HM53HDSXX:1:2638:29080:12994		1	92610449	NC_007605	49275	
A00295:260:HM53HDSXX:4:2362:4101:22968		1	93038393	NC_007605	81490	
A00295:260:HM53HDSXX:4:1675:31891:33896		1	93165913	NC_007605	92022	
A00295:260:HM53HDSXX:3:2336:4589:34428		1	93473113	NC_007605	65411	
A00295:260:HM53HDSXX:2:1452:10230:33990		1	95994797	NC_007605	86902	
A00295:260:HM53HDSXX:2:1534:17517:5682		1	96351844	NC_007605	159382	
A00295:260:HM53HDSXX:2:1534:17517:5682		1	96351845	NC_007605	159532	
A00295:260:HM53HDSXX:1:1546:18132:5619		1	98012959	NC_007605	64155	
A00295:260:HM53HDSXX:4:2612:14977:19100		1	98177640	NC_007605	131889	
A00295:260:HM53HDSXX:4:2612:14977:19100		1	98177641	NC_007605	131999	
A00295:260:HM53HDSXX:4:2654:17897:24784		1	98231465	NC_007605	140726	
A00295:260:HM53HDSXX:2:1225:5647:21010		1	101193770	NC_007605	103552	
A00295:260:HM53HDSXX:1:1475:28800:4492		1	101991564	NC_007605	135037	
A00295:260:HM53HDSXX:4:1260:1913:31735		1	102652639	NC_007605	116109	
A00295:260:HM53HDSXX:1:1262:17327:1814		1	104530313	NC_007605	166589	
A00295:260:HM53HDSXX:3:2433:26919:12790		1	106632715	NC_007605	70158	
A00295:260:HM53HDSXX:2:2238:4607:18991		1	106829557	NC_007605	147026	
A00295:260:HM53HDSXX:3:1538:29125:17456		1	107498845	NC_007605	48834	
A00295:260:HM53HDSXX:1:2373:28411:15969		1	109629938	NC_007605	47059	
A00295:260:HM53HDSXX:2:2275:13042:4006		1	110402991	NC_007605	109350	
A00295:260:HM53HDSXX:2:2275:13042:4006		1	110402992	NC_007605	109535	
A00295:260:HM53HDSXX:3:1232:6171:9392		1	111088795	NC_007605	61062	
A00295:260:HM53HDSXX:3:2425:30644:36182		1	111712334	NC_007605	94179	
A00295:260:HM53HDSXX:4:1620:8350:14763		1	112862531	NC_007605	168405	
A00295:260:HM53HDSXX:2:2271:30237:12179		1	113252630	NC_007605	158433	
A00295:260:HM53HDSXX:2:2271:30237:12179		1	113252697	NC_007605	158366	
A00295:260:HM53HDSXX:2:2368:22950:35697		1	114862088	NC_007605	121893	
A00295:260:HM53HDSXX:2:2568:20365:29778		1	115319967	NC_007605	59436	
A00295:260:HM53HDSXX:1:1327:21567:1861		1	116277700	NC_007605	62814	
A00295:260:HM53HDSXX:2:2232:23348:13808		1	116934049	NC_007605	41857	
A00295:260:HM53HDSXX:1:1166:6949:16877		1	116972266	NC_007605	144630	
A00295:260:HM53HDSXX:4:1532:26440:5228		1	118507027	NC_007605	55046	
A00295:260:HM53HDSXX:4:2164:13702:3959		1	118692757	NC_007605	90664	
A00295:260:HM53HDSXX:4:2253:13015:12352		1	120580555	NC_007605	138015	
A00295:260:HM53HDSXX:2:2620:2537:24580		1	144039081	NC_007605	10426	
A00295:260:HM53HDSXX:1:2656:24026:28698		1	147363426	NC_007605	108693	
A00295:260:HM53HDSXX:2:2645:14570:9032		1	148558971	NC_007605	35819	
A00295:260:HM53HDSXX:4:2226:13838:32784		1	149293708	NC_007605	123031	
A00295:260:HM53HDSXX:3:2202:20428:11631		1	149365076	NC_007605	78204	
A00295:260:HM53HDSXX:4:2123:28194:7263		1	149749739	NC_007605	129024	
A00295:260:HM53HDSXX:3:2454:30463:2863		1	151734546	NC_007605	146279	
A00295:260:HM53HDSXX:2:1662:9118:7576		1	152978682	NC_007605	150364	
