readpair	integr_hotspot	chr1	pos1	chr2	pos2	EBV_cluster
A00125:289:HWHYWDSXX:4:1419:11134:9314		12	47370226	NC_007605	36418	
A00155:256:HWMGCDSXX:4:2322:19298:18818		12	76249904	NC_007605	36413	
A00155:256:HWMGCDSXX:4:1335:20320:26850		12	119145948	NC_007605	36407	
A00125:289:HWHYWDSXX:4:1477:11017:30561		17	10629878	NC_007605	36407	
A00155:256:HWMGCDSXX:4:1577:30725:17942		17	17363505	NC_007605	36402	
A00155:256:HWMGCDSXX:4:2622:18231:9142		17	39754630	NC_007605	36405	
A00155:256:HWMGCDSXX:4:1519:19180:12195		2	113104679	NC_007605	36402	
A00125:289:HWHYWDSXX:4:1532:14995:9549		20	62324980	NC_007605	36401	
A00125:289:HWHYWDSXX:4:1432:15935:2910		21	43226255	NC_007605	36407	
A00155:256:HWMGCDSXX:4:2450:13458:24862		22	43892167	NC_007605	36436	
A00155:256:HWMGCDSXX:4:2278:16731:4664		3	126580808	NC_007605	36401	
A00125:289:HWHYWDSXX:4:1601:29387:4257		4	6513917	NC_007605	36399	
A00125:289:HWHYWDSXX:4:1529:20871:30780		7	66863540	NC_007605	36407	
A00155:256:HWMGCDSXX:4:1646:10999:26991		7	141036964	NC_007605	36393	
A00155:256:HWMGCDSXX:4:1564:27100:36558		8	58203433	NC_007605	36398	
A00125:289:HWHYWDSXX:4:2455:18665:36824		8	145556851	NC_007605	36404	
A00125:289:HWHYWDSXX:4:2607:29866:15483		MT	13709	NC_007605	36400	
A00155:256:HWMGCDSXX:4:2204:3613:30514		X	47960333	NC_007605	36398	
