readpair	integr_hotspot	chr1	pos1	chr2	pos2	EBV_cluster
A00295:260:HM53HDSXX:1:1367:18521:28119		1	471125	NC_007605	77978	
A00295:260:HM53HDSXX:4:1505:1660:10535		1	566592	NC_007605	6070	
A00295:260:HM53HDSXX:2:2509:6822:28902		1	569805	NC_007605	149941	
A00295:260:HM53HDSXX:3:1432:4860:5400		1	807087	NC_007605	80263	
A00295:260:HM53HDSXX:3:1432:4860:5400		1	807087	NC_007605	80295	
A00295:260:HM53HDSXX:3:2203:29894:20196		1	955598	NC_007605	95836	
A00295:260:HM53HDSXX:4:1242:32732:13964		1	1255028	NC_007605	132960	
A00295:260:HM53HDSXX:4:2414:31313:9157		1	1398863	NC_007605	55917	
A00295:260:HM53HDSXX:4:2414:31313:9157		1	1398864	NC_007605	56081	
A00295:260:HM53HDSXX:4:2438:19271:31798		1	1794378	NC_007605	41862	
A00295:260:HM53HDSXX:4:2438:19271:31798		1	1794379	NC_007605	41948	
A00295:260:HM53HDSXX:4:1103:3893:4820		1	1855072	NC_007605	56079	
A00295:260:HM53HDSXX:3:1468:2003:13322		1	1930041	NC_007605	115483	
A00295:260:HM53HDSXX:2:1173:17273:1939		1	2801749	NC_007605	50545	
A00295:260:HM53HDSXX:2:1173:17273:1939		1	2801750	NC_007605	50760	
A00295:260:HM53HDSXX:1:1302:8070:35383		1	2870563	NC_007605	140576	
A00295:260:HM53HDSXX:2:1129:32542:27352		1	3145411	NC_007605	50203	
A00295:260:HM53HDSXX:1:2369:29432:13291		1	3163059	NC_007605	102231	
A00295:260:HM53HDSXX:1:2369:29432:13291		1	3163059	NC_007605	102231	
A00295:260:HM53HDSXX:1:2411:19578:7874		1	3163059	NC_007605	102231	
A00295:260:HM53HDSXX:1:2411:19578:7874		1	3163059	NC_007605	102231	
A00295:260:HM53HDSXX:4:1315:20030:8813		1	3334831	NC_007605	9310	
A00295:260:HM53HDSXX:4:1315:19443:9079		1	3334831	NC_007605	9310	
A00295:260:HM53HDSXX:4:1315:19208:9392		1	3334831	NC_007605	9310	
A00295:260:HM53HDSXX:4:1315:20030:8813		1	3334908	NC_007605	9310	
A00295:260:HM53HDSXX:2:1524:21549:29982		1	3408143	NC_007605	110422	
A00295:260:HM53HDSXX:2:1465:30481:7686		1	3841726	NC_007605	166255	
A00295:260:HM53HDSXX:2:1465:30481:7686		1	3841726	NC_007605	166255	
A00295:260:HM53HDSXX:2:2560:23755:10661		1	4250309	NC_007605	93901	
A00295:260:HM53HDSXX:1:1236:18475:2112		1	4300759	NC_007605	107096	
A00295:260:HM53HDSXX:3:2227:31204:20462		1	4332860	NC_007605	81198	
A00295:260:HM53HDSXX:2:2624:10077:6637		1	4425476	NC_007605	159037	
A00295:260:HM53HDSXX:2:2624:10077:6637		1	4425559	NC_007605	159037	
A00295:260:HM53HDSXX:3:1207:32262:7012		1	4604405	NC_007605	119647	
A00295:260:HM53HDSXX:3:1207:32262:7012		1	4604406	NC_007605	119647	
A00295:260:HM53HDSXX:2:2550:7419:22482		1	5127965	NC_007605	45289	
A00295:260:HM53HDSXX:4:2529:8522:26396		1	5292703	NC_007605	120053	
A00295:260:HM53HDSXX:2:1504:30779:26083		1	5708783	NC_007605	42369	
A00295:260:HM53HDSXX:2:1413:20889:35884		1	5893215	NC_007605	128689	
A00295:260:HM53HDSXX:2:1413:20889:35884		1	5893264	NC_007605	128689	
A00295:260:HM53HDSXX:1:1557:10077:35509		1	6563842	NC_007605	11756	
A00295:260:HM53HDSXX:2:2450:22417:33520		1	6716776	NC_007605	160484	
A00295:260:HM53HDSXX:1:1332:3667:28855		1	7355778	NC_007605	46203	
A00295:260:HM53HDSXX:4:2270:2347:18552		1	7395199	NC_007605	57814	
A00295:260:HM53HDSXX:1:2475:23149:14747		1	7864312	NC_007605	5284	
A00295:260:HM53HDSXX:1:2475:23149:14747		1	7864343	NC_007605	5284	
A00295:260:HM53HDSXX:2:2178:28366:10598		1	8220451	NC_007605	123095	
A00295:260:HM53HDSXX:3:1412:27082:31109		1	8335781	NC_007605	131859	
A00295:260:HM53HDSXX:2:2669:25274:36996		1	8919774	NC_007605	133467	
A00295:260:HM53HDSXX:2:2669:25274:36996		1	8919775	NC_007605	133314	
A00295:260:HM53HDSXX:1:1120:19660:30436		1	8981991	NC_007605	160934	
A00295:260:HM53HDSXX:4:2602:13955:9471		1	9485152	NC_007605	158228	
A00295:260:HM53HDSXX:4:1101:3125:25441		1	9613259	NC_007605	152874	
A00295:260:HM53HDSXX:2:1401:14281:33739		1	9732743	NC_007605	97500	
A00295:260:HM53HDSXX:3:2468:21187:3490		1	9757258	NC_007605	100837	
A00295:260:HM53HDSXX:1:1218:1805:9283		1	9826775	NC_007605	108678	
A00295:260:HM53HDSXX:1:1448:19000:23093		1	9950686	NC_007605	148967	
A00295:260:HM53HDSXX:1:1448:19000:23093		1	9950753	NC_007605	148967	
A00295:260:HM53HDSXX:2:2109:9489:22122		1	10352268	NC_007605	56602	
A00295:260:HM53HDSXX:1:1159:12174:2440		1	10709092	NC_007605	143382	
A00295:260:HM53HDSXX:3:2507:17852:28682		1	11049008	NC_007605	56464	
A00295:260:HM53HDSXX:2:2424:21386:19680		1	11139317	NC_007605	118574	
A00295:260:HM53HDSXX:2:2424:21386:19680		1	11139318	NC_007605	118403	
A00295:260:HM53HDSXX:2:1519:14045:26725		1	11272406	NC_007605	57980	
A00295:260:HM53HDSXX:1:2538:17164:36198		1	11891198	NC_007605	49928	
A00295:260:HM53HDSXX:3:1664:6488:13041		1	12043799	NC_007605	48918	
A00295:260:HM53HDSXX:3:1664:6488:13041		1	12043800	NC_007605	49047	
A00295:260:HM53HDSXX:1:1467:20708:7607		1	12219700	NC_007605	78335	
A00295:260:HM53HDSXX:4:1515:27995:25582		1	12525255	NC_007605	62405	
A00295:260:HM53HDSXX:4:1515:27995:25582		1	12525256	NC_007605	62701	
A00295:260:HM53HDSXX:3:2627:5448:2566		1	13050408	NC_007605	75866	
A00295:260:HM53HDSXX:1:1607:25391:11522		1	14025382	NC_007605	100863	
A00295:260:HM53HDSXX:2:1505:9570:25645		1	14814548	NC_007605	41888	
A00295:260:HM53HDSXX:1:1308:3052:10755		1	15284279	NC_007605	64522	
A00295:260:HM53HDSXX:3:2503:7672:3286		1	17765511	NC_007605	47670	
A00295:260:HM53HDSXX:3:2503:7672:3286		1	17765512	NC_007605	47604	
A00295:260:HM53HDSXX:1:2502:21621:20243		1	17995428	NC_007605	59420	
A00295:260:HM53HDSXX:1:2502:21621:20243		1	17995429	NC_007605	59550	
A00295:260:HM53HDSXX:1:1448:14244:14544		1	20009324	NC_007605	151865	
A00295:260:HM53HDSXX:4:1521:22978:3583		1	20009324	NC_007605	151865	
A00295:260:HM53HDSXX:2:1558:2781:11412		1	20097642	NC_007605	1106	
A00295:260:HM53HDSXX:3:2217:15004:24752		1	20560675	NC_007605	68211	
A00295:260:HM53HDSXX:2:2332:28103:17096		1	20744451	NC_007605	126482	
A00295:260:HM53HDSXX:2:1446:2428:2284		1	20915667	NC_007605	53963	
A00295:260:HM53HDSXX:2:1446:2428:2284		1	20915668	NC_007605	53963	
A00295:260:HM53HDSXX:4:2250:5222:11945		1	20942176	NC_007605	80793	
A00295:260:HM53HDSXX:2:2435:19416:36119		1	21511130	NC_007605	139671	
A00295:260:HM53HDSXX:2:1175:26313:34444		1	21727001	NC_007605	150875	
A00295:260:HM53HDSXX:1:1357:23637:2472		1	22112330	NC_007605	90223	
A00295:260:HM53HDSXX:3:1165:3694:14246		1	22485026	NC_007605	69168	
A00295:260:HM53HDSXX:3:1446:1741:3912		1	22745536	NC_007605	78924	
A00295:260:HM53HDSXX:1:2214:13105:1329		1	23197922	NC_007605	160338	
A00295:260:HM53HDSXX:1:2207:28203:29794		1	23830895	NC_007605	128434	
A00295:260:HM53HDSXX:3:1271:32434:4241		1	23879360	NC_007605	87622	
A00295:260:HM53HDSXX:2:1409:8106:6981		1	24190804	NC_007605	85532	
A00295:260:HM53HDSXX:3:1257:30572:31485		1	24382161	NC_007605	61529	
A00295:260:HM53HDSXX:3:1257:30572:31485		1	24382162	NC_007605	61631	
A00295:260:HM53HDSXX:2:2474:30147:13275		1	24531926	NC_007605	162601	
A00295:260:HM53HDSXX:2:2474:30599:13526		1	24531926	NC_007605	162601	
A00295:260:HM53HDSXX:1:1539:1886:8296		1	24540811	NC_007605	65410	
A00295:260:HM53HDSXX:3:1521:8133:10817		1	24806927	NC_007605	161717	
A00295:260:HM53HDSXX:1:2620:5629:1532		1	24903894	NC_007605	105993	
A00295:260:HM53HDSXX:2:1630:16269:17863		1	25323180	NC_007605	150523	
A00295:260:HM53HDSXX:2:1630:16269:17863		1	25323181	NC_007605	150710	
A00295:260:HM53HDSXX:1:1163:28311:17456		1	25422257	NC_007605	82935	
A00295:260:HM53HDSXX:4:2539:15411:18818		1	25682628	NC_007605	159260	
A00295:260:HM53HDSXX:3:2416:13295:29277		1	25800699	NC_007605	162715	
A00295:260:HM53HDSXX:1:1211:1289:7513		1	26003945	NC_007605	51783	
A00295:260:HM53HDSXX:2:1341:6723:14231		1	26761883	NC_007605	109748	
A00295:260:HM53HDSXX:1:1441:32723:1423		1	26805267	NC_007605	74074	
A00295:260:HM53HDSXX:2:2226:11143:35415		1	27152149	NC_007605	98541	
A00295:260:HM53HDSXX:2:2654:3097:20823		1	27167347	NC_007605	6248	
A00295:260:HM53HDSXX:2:1553:32398:24659		1	27479411	NC_007605	73283	
A00295:260:HM53HDSXX:3:1153:1244:20494		1	29084562	NC_007605	113316	
A00295:260:HM53HDSXX:4:2336:23357:28322		1	30365258	NC_007605	150874	
A00295:260:HM53HDSXX:4:2336:23357:28322		1	30365258	NC_007605	150874	
A00295:260:HM53HDSXX:1:1554:23764:12023		1	30512011	NC_007605	127827	
A00295:260:HM53HDSXX:1:2226:19822:1564		1	30519237	NC_007605	48853	
A00295:260:HM53HDSXX:1:2226:19822:1564		1	30519255	NC_007605	48853	
A00295:260:HM53HDSXX:2:1173:31503:1626		1	30795694	NC_007605	113852	
A00295:260:HM53HDSXX:2:1173:31503:1626		1	30795695	NC_007605	114070	
A00295:260:HM53HDSXX:1:2667:29776:26287		1	31128323	NC_007605	36389	
A00295:260:HM53HDSXX:2:2603:15067:7795		1	32268793	NC_007605	1932	
A00295:260:HM53HDSXX:3:1115:1497:21183		1	32620984	NC_007605	48094	
A00295:260:HM53HDSXX:2:1310:5502:8891		1	33031234	NC_007605	168198	
A00295:260:HM53HDSXX:3:2405:12292:16673		1	33515541	NC_007605	91966	
A00295:260:HM53HDSXX:3:2405:12292:16673		1	33515541	NC_007605	91966	
A00295:260:HM53HDSXX:1:1527:32922:10504		1	33972558	NC_007605	92378	
A00295:260:HM53HDSXX:3:2362:25364:4648		1	34179223	NC_007605	158836	
A00295:260:HM53HDSXX:3:2362:25364:4648		1	34179224	NC_007605	158714	
A00295:260:HM53HDSXX:3:2213:19804:15812		1	34393317	NC_007605	121820	
A00295:260:HM53HDSXX:3:2246:16504:26130		1	34725116	NC_007605	130680	
A00295:260:HM53HDSXX:2:1456:29044:8484		1	35083688	NC_007605	89467	
A00295:260:HM53HDSXX:1:2463:25301:22701		1	35402890	NC_007605	93439	
A00295:260:HM53HDSXX:2:1675:31928:35963		1	35406544	NC_007605	147493	
A00295:260:HM53HDSXX:3:2478:3830:8469		1	35473069	NC_007605	100601	
A00295:260:HM53HDSXX:2:2405:5050:5885		1	35524953	NC_007605	58518	
A00295:260:HM53HDSXX:1:1356:21233:33974		1	35885791	NC_007605	95837	
A00295:260:HM53HDSXX:4:2210:14055:8296		1	36228490	NC_007605	95093	
A00295:260:HM53HDSXX:1:2252:27877:16454		1	36441108	NC_007605	68875	
A00295:260:HM53HDSXX:1:2574:25527:10379		1	36518641	NC_007605	65955	
A00295:260:HM53HDSXX:4:2424:2456:21684		1	37290446	NC_007605	90294	
A00295:260:HM53HDSXX:4:2311:29930:33724		1	37567683	NC_007605	132500	
A00295:260:HM53HDSXX:1:2436:14769:17707		1	37865295	NC_007605	57569	
A00295:260:HM53HDSXX:3:2460:21061:28917		1	38670030	NC_007605	112851	
A00295:260:HM53HDSXX:2:2452:24451:33724		1	38755333	NC_007605	138917	
A00295:260:HM53HDSXX:2:2452:24451:33724		1	38755344	NC_007605	138917	
A00295:260:HM53HDSXX:2:1663:30617:8296		1	39776804	NC_007605	112779	
A00295:260:HM53HDSXX:3:1546:15402:11506		1	39907672	NC_007605	156595	
A00295:260:HM53HDSXX:1:2459:15329:31078		1	40038610	NC_007605	52204	
